Track,Course,Unit Number: Lesson Name,Date,Topic (Sub-Lesson),Question Text,Result,Review Flag
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/13/2026 20:36:00,"Input Layer, Hidden Layer, and Output Layer",What does the output layer of a neural network typically provide?,1,
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:42,Frequency Analytics with Counter,What is Counter from collections used for in the lesson?,1,
Programming Foundations,Python Data Types,02 String Processing,4/14/2026 0:38:42,Dynamic f-strings,Why are f-strings useful according to the notes?,1,
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:44,Rich Record Modeling with dataclasses,What does @dataclass(frozen=True) mean in the notes?,0,1
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:44,Attribute-based Records with namedtuple,Why does the lesson position namedtuple as useful for 'record' objects?,1,1
Programming Foundations,Python Data Types,02 String Processing,4/14/2026 0:38:44,Dynamic f-strings,"In print(f'Rank rank+1: girl_name and boy_name'), why is rank+1 used?",1,
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:45,Boilerplate reduction with defaultdict,"In male_penguin_weights = defaultdict(list), what makes male_penguin_weights[species].append(body_mass) convenient?",1,
Programming Foundations,Python Data Types,03 Key-Value Data Modeling,4/14/2026 0:38:45,Managing Keys: .update() and .pop(),What does d.update(other_dict) do according to the lesson?,1,1
Programming Foundations,Python Data Types,03 Key-Value Data Modeling,4/14/2026 0:38:45,Safe Dictionary Access: .get() vs. [],What happens if you use d[key] and the key is missing?,1,
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:45,Attribute-based Records with namedtuple,"In SpeciesDetails = namedtuple('SpeciesDetails', ['species', 'sex', 'body_mass']), what does SpeciesDetails(species, sex, body_mass) create?",1,1
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:46,Boilerplate reduction with defaultdict,What problem does defaultdict solve according to the lesson?,1,
Programming Foundations,Python Data Types,02 String Processing,4/14/2026 0:38:46,Efficient Joining & Search Normalization,Which search tools are described as case-sensitive in the notes?,0,
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:46,Attribute-based Records with namedtuple,What is a namedtuple in the lesson?,1,
Programming Foundations,Python Data Types,02 String Processing,4/14/2026 0:38:47,Efficient Joining & Search Normalization,Why does the lesson recommend normalizing with .lower() before searching?,1,
Programming Foundations,Python Data Types,02 String Processing,4/14/2026 0:38:47,Dynamic f-strings,What is an f-string in the lesson?,1,
Programming Foundations,Python Data Types,01 Advanced Sequence Ops,4/14/2026 0:38:47,Tuple Unpacking & Data Integrity,What is a gotcha mentioned about tuple creation?,1,
Programming Foundations,Python Data Types,03 Key-Value Data Modeling,4/14/2026 0:38:47,Managing Keys: .update() and .pop(),"How does the lesson contrast del d[key] with d.pop(key, default)?",1,
Programming Foundations,Python Data Types,02 String Processing,4/14/2026 0:38:48,Dynamic f-strings,Which example matches the lesson’s f-string pattern?,1,
Programming Foundations,Python Data Types,01 Advanced Sequence Ops,4/14/2026 0:38:48,Tuple Unpacking & Data Integrity,What key syntax idea about tuples is emphasized in the notes?,1,
Programming Foundations,Python Data Types,03 Key-Value Data Modeling,4/14/2026 0:38:48,Safe Dictionary Access: .get() vs. [],"According to the lesson, when should you prefer [] over .get()?",1,
Programming Foundations,Python Data Types,04 Specialized Containers,4/14/2026 0:38:49,Rich Record Modeling with dataclasses,Which advantage of dataclasses is explicitly listed?,1,1
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:46,Clustering in Unsupervised Learning,"In the DNA microarray example, what is the algorithm trying to uncover?",1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:46,Anomaly Detection,"In a probabilistic approach to anomaly detection, how is an input x typically classified as an anomaly?",0,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:46,Learning Rate and Convergence,What happens if the learning rate is too small?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:46,Anomaly Detection,What is anomaly detection used for in the notes?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:47,Clustering in Unsupervised Learning,Which statement best captures an important edge case about clustering?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:47,Anomaly Detection,Which scenario is the best fit for anomaly detection?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:48,Cost Function and Squared Error,Why is there a factor of 1/(2m) rather than just 1/m in the cost function used here?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:49,Gradient Descent,What is the main goal of gradient descent?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:49,Why Linear Regression’s Cost Function Has a Global Minimum,What does 'convex' mean in the notes’ discussion of the cost function?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:49,What Machine Learning Is,Why does the course frame machine learning as part of the path toward more capable AI systems?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:50,Gradient Descent,How does the notes’ hill analogy explain gradient descent?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:50,Cost Function Intuition and Model Fit,What is an important intuition from comparing different values of w in the notes?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:50,Anomaly Detection,What common misunderstanding does the notes’ discussion help avoid about anomaly detection?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:51,When to Use Machine Learning,"According to the notes, why is now a strong time to learn machine learning?,The field is shrinking",1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:51,Why Linear Regression’s Cost Function Has a Global Minimum,What misunderstanding should be avoided about gradient descent after reading this section?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:51,Gradient Descent for Multiple Linear Regression,What stays conceptually the same when extending gradient descent to multiple linear regression?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:51,When to Use Machine Learning,What mistake does the course warn against when deciding whether to use ML?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:52,When to Use Machine Learning,Why does the course say industries beyond software offer large ML opportunities?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:52,When to Use Machine Learning,When is machine learning especially appropriate for a problem?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/14/2026 0:46:52,Anomaly Detection,What makes anomaly detection different from standard supervised learning?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:24,Similarity Score,What is the similarity score in XGBoost regression used for?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:25,Learning Rate in XGBoost,What trade-off comes with a smaller learning rate?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:26,Cover as a Constraint in Classification Trees,What misunderstanding should be avoided about cover in classification trees?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:26,Learning Rate in XGBoost,What misunderstanding should be avoided about eta?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:27,Similarity Score,How is the similarity score described in the notes for regression?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:27,Cover as a Constraint in Classification Trees,Why can cover constrain whether a classification leaf is allowed?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:28,Cover as a Constraint in Classification Trees,What modeling issue does cover help address?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:28,Similarity Score,What misunderstanding should be avoided about the similarity score?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:28,How Lambda Shrinks Similarity Scores,What broader modeling effect does this shrinkage support?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:29,Gain in XGBoost,What misunderstanding should be avoided about gain?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:29,XGBoost for Regression,What misunderstanding should be avoided about XGBoost regression?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:29,Gamma as Tree Complexity Control,What kind of branches are most affected by gamma?,0,1
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:30,Learning Rate in XGBoost,What is the learning rate in XGBoost called in the notes?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:30,Pruning with Gamma,What happens if gamma is increased?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:30,Choosing Splits with Gain,What misunderstanding should be avoided about split selection in XGBoost?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:31,How Lambda Shrinks Similarity Scores,Why can shrinking similarity scores make pruning easier?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:31,Pruning with Gamma,What does gamma do in XGBoost tree pruning?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:31,Gamma as Tree Complexity Control,Why is gamma a tree complexity control in XGBoost?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:32,Sequential Residual Correction in XGBoost,What misunderstanding should be avoided about XGBoost’s sequential nature?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:32,Gain in XGBoost,What does a negative or poor gain suggest?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:32,Sequential Residual Correction in XGBoost,What is the basic sequential idea in XGBoost?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:33,Cover as a Constraint in Classification Trees,What does cover represent in XGBoost classification?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:33,Sequential Residual Correction in XGBoost,Why is this called sequential correction?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:33,Sequential Residual Correction in XGBoost,What happens after predictions improve from one tree?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:34,Choosing Splits with Gain,How does XGBoost choose a split at a node?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:34,Gamma as Tree Complexity Control,What misunderstanding should be avoided about gamma as complexity control?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:34,How Lambda Shrinks Similarity Scores,How does lambda affect the similarity score numerically?,1,1
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:34,XGBoost for Regression,Why is XGBoost popular for tabular regression problems according to the notes?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:35,Choosing Splits with Gain,What happens after the best gain split is selected?,1,
Machine Learning,StatQuest ML,Xgboost,4/14/2026 0:55:36,Gamma as Tree Complexity Control,How does gamma help with overfitting?,1,
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,4/14/2026 1:00:25,Backpropagation algorithm math,"If L depends on y_hat, y_hat depends on z, z depends on a_1, a_1 depends on z_1, and z_1 depends on w_11, what form does the notes use for ∂L/∂w_11?",1,
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,4/14/2026 1:00:25,Activations and Activation Functions,Which of the following is true about activation functions according to the notes?,1,
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,4/14/2026 1:00:25,Partial derivatives and the Gradient vector,"In the sauna example, the gradient points in which direction?",0,1
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,4/14/2026 1:00:25,Activations and Activation Functions,"What does the term ""activation"" refer to in the context of a single neuron?",1,
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,4/14/2026 1:00:26,Higher-order derivatives and the Hessian matrix,"If all eigenvalues of the Hessian are positive, how does the course classify the Hessian and the nearby shape?",1,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/14/2026 1:07:00,Unique Values & Membership (Sets),What is the main purpose of a set in the lesson?,1,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/14/2026 1:07:00,Unique Values & Membership (Sets),What does set(my_list) do according to the notes?,1,
Programming Foundations,Python Syntax & Logic Foundations,01 The Developer Mindset,4/14/2026 1:07:00,Documentation with Comments (#),Which statement best matches the lesson’s distinction?,1,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/14/2026 1:07:02,Key-Value Relationships (Dictionaries),How do you access the value for the key 'pasta' in recipe = 'pasta': 500?,1,
Programming Foundations,Python Syntax & Logic Foundations,01 The Developer Mindset,4/14/2026 1:07:02,Python Script Mental Model,What analogy is used for a script in the notes?,1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/14/2026 1:07:02,Arithmetic & String Operators,"Given print('ha' * 3), what output matches the lesson?",1,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/14/2026 1:07:02,Ordered Collections (Lists),What index does a Python list start at according to the notes?,1,
Programming Foundations,Python Syntax & Logic Foundations,01 The Developer Mindset,4/14/2026 1:07:03,print() as a Debugging & Testing Tool,What is the lesson’s core workflow around print()?,1,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/14/2026 1:07:03,Result Building: Incrementing & Appending,Why does the lesson say this pattern matters?,1,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/14/2026 1:07:03,Key-Value Relationships (Dictionaries),Which dictionary method returns key-value pairs as tuples?,1,
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,4/14/2026 1:24:49,Diagonalization of matrices,"If a 2×2 matrix has two independent eigenvectors, what does the notes imply?",1,
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,4/14/2026 1:24:50,Singularity and solvability of systems,"When Gaussian elimination produces a full row of zeros and the constant in that row is also zero, what does the notes conclude about the system?",0,
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,4/14/2026 1:24:50,Rank of a matrix,Why is rank useful for image compression according to the transcript?,1,
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",4/14/2026 1:24:51,Projections of vectors onto subspaces,What condition does the notebook give for the best approximation Ax̂ to b?,0,1
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,4/14/2026 1:24:52,Diagonalization of matrices,"What is the point of diagonalizing a matrix, according to the course framing?",1,1
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,4/14/2026 1:24:52,Representing systems of linear equations as matrices,According to the notes how is a system of linear equations turned into a matrix?,1,
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,4/14/2026 1:24:52,Representing systems of linear equations as matrices,"In the same setup, what does each column correspond to?",1,
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,4/14/2026 1:24:53,Singularity and solvability of systems,A matrix sends the whole plane to just a line under its linear transformation. How does the notes classify it?,1,
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,4/14/2026 1:24:53,Rank of a matrix,According to the notes what does the rank of a matrix measure in an intuitive sense?,1,
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,4/14/2026 1:24:53,Inverse matrices and their role in transformations,"According to the notes, what is the main role of an inverse matrix?",1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/14/2026 1:34:55,Multiple Random Initializations for Better Clustering,"What is a possible outcome of an ""unlucky"" single random initialization in K-means?[cite: 3322,3326]",1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/14/2026 1:34:56,Joint Optimization of User Parameters and Item Features,What misunderstanding should be avoided about joint optimization?,1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/14/2026 1:34:56,Multiple Random Initializations for Better Clustering,What mathematical property of the K-means cost function (distortion) necessitates multiple random initializations?,1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/14/2026 1:34:57,K-Means Centroid Update Step,How is the new location of a cluster centroid calculated in the update step?,1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/14/2026 1:34:57,K-Means Centroid Update Step,What misunderstanding should be avoided about this step?,1,
Math Foundations,Calculus,01 Limits and continuity,4/16/2026 11:50:28,Estimating limits and one-sided limits,Which statement best describes a one-sided limit at x = a?,1,
Math Foundations,Calculus,01 Limits and continuity,4/16/2026 11:50:28,Estimating limits and one-sided limits,"If a graph approaches 3 from the left of x = 2 and 5 from the right of x = 2, what can be concluded about lim x→2 f(x)?",1,
Math Foundations,Calculus,01 Limits and continuity,4/16/2026 11:50:28,The Squeeze Theorem,"If −x^2 ≤ f(x) ≤ x^2 for all x near 0, then lim x→0 f(x) is:",1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:27:29,Types of discontinuities,A removable discontinuity is usually shown by:,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:27:29,"Limits by direct substitution, factoring, and conjugates",Direct substitution works immediately for lim x→2 (x^2 + 3x − 1) because:,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:27:29,"Limits by direct substitution, factoring, and conjugates",Evaluate the limit: lim x→1 (x^3 - 1) / (x - 1).,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:27:30,Limits of trigonometric functions,Evaluate the limit lim x→π sin(x)/(x - π) through the use of variable substitution.,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:27:30,"Limits by direct substitution, factoring, and conjugates",Which method is most useful for finding lim x→3 (x^2 − 9)/(x − 3)?,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:32:32,Intermediate Value Theorem (IVT),"Given that f and g are continuous on [a, b], if f(a) < g(a) and f(b) > g(b), what must be true on the interval (a, b)?",1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:32:32,"Limits by direct substitution, factoring, and conjugates",Which method is most useful for finding lim x→3 (x^2 − 9)/(x − 3)?,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:32:32,"Limits by direct substitution, factoring, and conjugates",Evaluate lim x→3 (x^2 − 9)/(x − 3).,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:32:32,The Squeeze Theorem,"To determine the limit of f(x) = x^2 sin(1/x) as x approaches 0, which specific bounding functions are typically utilized?",1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:32:33,Limits of trigonometric functions,Calculate the multi-step limit lim x→0 tan(3x)/sin(5x) with trigonometric laws.,0,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:39:14,Limits of trigonometric functions,Identify the bounding inequality for the Squeeze Theorem proof of lim x→0 sin(x)/x = 1.,0,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:39:14,Limits of trigonometric functions,Determine the limit lim x→0 (1 - cos(x))/x^2 using trigonometric transformations.,0,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:39:14,Intermediate Value Theorem (IVT),Why can IVT not be applied to a function with a hole in the interval?,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:39:15,Limits of trigonometric functions,A foundational trigonometric limit is:,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:39:15,"Limits by direct substitution, factoring, and conjugates",Evaluate lim x→2 (x^2 + x − 6)/(x − 2).,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:44:43,Limits of trigonometric functions,Identify the bounding inequality for the Squeeze Theorem proof of lim x→0 sin(x)/x = 1.,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:44:43,Types of discontinuities,"If the left-hand and right-hand limits exist but are different, the discontinuity is:",1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:44:43,Intermediate Value Theorem (IVT),Why can IVT not be applied to a function with a hole in the interval?,1,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:44:43,Intermediate Value Theorem (IVT),"For a continuous function f on [0, 5], where f(0) = -2 and f(5) = 10, what is a primary limitation of the IVT?",0,
Math Foundations,Calculus,01 Limits and continuity,4/17/2026 15:44:44,The Squeeze Theorem,Why can x·sin(1/x) be squeezed near x = 0?,0,
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,4/17/2026 15:48:05,Overriding & Customizing Inherited Behavior,"Why does the overriding version still call Employee.give_raise(self, new_amount)?",1,
Programming Foundations,Object-Oriented Programming (OOP) in Python,01 The OOP Framework,4/17/2026 15:48:05,Procedural vs. Object-Oriented Thinking,Which analogy is used in the notes?,1,
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,4/17/2026 15:48:06,Liskov Substitution Principle (LSP),Which kind of compatibility does LSP require syntactically?,1,
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,4/17/2026 15:48:06,Polymorphism: Programming via Interfaces,What example interface idea is given in the notes?,1,
Programming Foundations,Object-Oriented Programming (OOP) in Python,01 The OOP Framework,4/17/2026 15:48:06,Procedural vs. Object-Oriented Thinking,Which statement best reflects the lesson’s contrast?,1,
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/17/2026 15:50:05,Handwritten Digit Recognition with Neural Networks,Why is handwritten digit recognition a useful example for neural networks?,1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/17/2026 15:50:05,Anomaly Detection vs. Supervised Learning,What misunderstanding should be avoided when choosing between these approaches?,1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/17/2026 15:50:06,Recommender Systems with Per-Item Features,Why can item features help recommendation?,1,
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",4/17/2026 15:50:06,When to Use Anomaly Detection,Which situation best fits anomaly detection according to the notes?,1,
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/17/2026 15:50:06,Handwritten Digit Recognition with Neural Networks,Which activation function is commonly used in the hidden layers of a modern digit recognition network to help it learn complex non-linear patterns?,1,
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,4/17/2026 15:54:26,Supervised vs. Unsupervised Learning,Which pairing is correct according to the notes?,1,
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/17/2026 15:54:26,Building Neural Networks with TensorFlow Sequential,"When defining a 'Dense' layer within a Sequential model, which parameter is used to specify the non-linear transformation applied to that layer's output?",1,1
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/17/2026 15:54:27,General Dense Layer Implementation,What does the dense function return?,1,
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/17/2026 15:54:28,Building Neural Networks with TensorFlow Sequential,What misunderstanding should be avoided about Sequential models?,1,
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,4/17/2026 15:54:28,Building Neural Networks with TensorFlow Sequential,"When calling 'model.fit(X, y, epochs=10)', what does the 'epochs' parameter represent?",1,
Machine Learning,StatQuest ML,Xgboost,4/17/2026 15:56:29,Gain for Classification Splits,What quantities are combined to compute gain for a classification split?,1,
