Track,Course,Unit Number: Lesson Name,Date,Topic (Sub-Lesson),Question Text,Result,Review Flag
Machine Learning,StatQuest ML,Xgboost,4/17/2026 15:56:29,Regularization with Lambda,What misunderstanding should be avoided about lambda in XGBoost?,1,
Machine Learning,StatQuest ML,Xgboost,4/17/2026 15:56:29,XGBoost vs. Gradient Boosting,What is one major difference between XGBoost and basic gradient boosting in the notes?,1,
Machine Learning,StatQuest ML,Xgboost,4/17/2026 15:56:30,Tree Depth Constraints in XGBoost,What misunderstanding should be avoided about tree depth in XGBoost?,1,
Machine Learning,StatQuest ML,Xgboost,4/17/2026 15:56:30,Initial Prediction in XGBoost,What default initial prediction is highlighted in the notes’ XGBoost explanation?,0,
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),4/17/2026 15:57:56,Variance and standard deviation of a population (Khan Academy),What does population standard deviation measure?,1,
Math Foundations,Statistics and Probability,09 Random variables (khanacademy.org),4/17/2026 15:57:57,Transforming random variables (khanacademy.org),"If Y = X + 3, how does the mean change?",1,
Math Foundations,Statistics and Probability,14 Inference for categorical data (chi-square tests) (khanacademy.org),4/17/2026 15:57:57,Chi-square tests for relationships (khanacademy.org),A chi-square test for relationship examines whether two variables are,1,
Math Foundations,Statistics and Probability,13 Two-sample inference for the difference between groups (httpswww.khanacademy.org),4/17/2026 15:57:57,Comparing two proportions (httpswww.khanacademy.org),"If p-hat1 = 0.60 and p-hat2 = 0.45, the observed difference is",1,
Math Foundations,Statistics and Probability,09 Random variables (khanacademy.org),4/17/2026 15:57:58,More on expected value (khanacademy.org),"If Y = X + 3, then E(Y) =",1,
Math Foundations,Statistics and Probability,04 Modeling data distributions (khanacademy.org),4/17/2026 16:08:39,More on normal distributions (khanacademy.org),"In a normal distribution, mean, median, and mode are",1,
Math Foundations,Statistics and Probability,12 Significance tests (hypothesis testing) (khanacademy.khanacademy.org),4/17/2026 16:08:39,Error probabilities and power (khanacademy.org),Increasing sample size often,1,
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),4/17/2026 16:08:39,Other measures of spread (Khan Academy),Which pair are both measures of spread?,1,
Math Foundations,Statistics and Probability,07 Probability (khanacademy.org),4/17/2026 16:08:40,Basic theoretical probability (khanacademy.org),"If an event is certain, its probability is",1,
Math Foundations,Statistics and Probability,04 Modeling data distributions (khanacademy.org),4/17/2026 16:08:40,More on normal distributions (khanacademy.org),Shifting the mean of a normal distribution changes,1,
Math Foundations,Statistics and Probability,05 Exploring bivariate numerical data (khanacademy.org),4/17/2026 16:08:41,Assessing the fit in least-squares regression (khanacademy.org),A good residual plot for a linear fit should show,0,
Math Foundations,Statistics and Probability,01 Analyzing categorical data (khanacademy.org),4/17/2026 16:08:41,Analyzing one categorical variable (khanacademy.org),Which display is best for a single categorical variable?,1,
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),4/17/2026 16:08:41,More on mean and median (Khan Academy),"Find the mean of 1, 1, 4, 8.",1,
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),4/17/2026 16:08:42,Other measures of spread (Khan Academy),Which measure of spread uses only the maximum and minimum?,1,
Math Foundations,Statistics and Probability,04 Modeling data distributions (khanacademy.org),4/17/2026 16:08:42,Effects of linear transformations (khanacademy.org),"If every value in a data set increases by 7, what happens to the mean?",0,
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),4/17/2026 16:08:42,Other measures of spread (Khan Academy),"If two data sets have the same range, what must be true?",0,
Math Foundations,Statistics and Probability,05 Exploring bivariate numerical data (khanacademy.org),4/17/2026 16:08:43,Assessing the fit in least-squares regression (khanacademy.org),Which value of r^2 indicates a stronger linear fit?,1,
Math Foundations,Statistics and Probability,04 Modeling data distributions (khanacademy.org),4/17/2026 16:08:43,Effects of linear transformations (khanacademy.org),"If every value increases by 3, what happens to the median?",1,
Math Foundations,Statistics and Probability,04 Modeling data distributions (khanacademy.org),4/17/2026 16:08:43,Density curves (khanacademy.org),Which statement is true for any density curve?,1,
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),4/17/2026 16:08:43,More on mean and median (Khan Academy),"If a distribution is strongly right-skewed, which center is often preferred?",1,
Math Foundations,College Algebra,08 Rational expressions and equations,4/18/2026 11:30:00,Solving rational equations and modeling,What must always be checked after solving a rational equation?,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 11:30:00,The Quadratic Formula,The quadratic formula solves ax^2 + bx + c = 0 using:,1,
Math Foundations,College Algebra,07 Exponents and radicals,4/18/2026 11:30:02,Graphing exponential growth and decay,An exponential decay function has base:,1,
Math Foundations,College Algebra,07 Exponents and radicals,4/18/2026 11:30:02,Graphing exponential growth and decay,Which function shows exponential decay?,1,
Math Foundations,College Algebra,08 Rational expressions and equations,4/18/2026 11:30:02,Solving rational equations and modeling,Why can multiplying both sides by the least common denominator help solve a rational equation?,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 11:30:03,The Quadratic Formula,"For x^2 − 5x + 6 = 0, the discriminant is:",1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 11:30:03,Properties of logarithms and Change of Base formula,Expand log_3(x^2y).,1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 11:30:03,Intercepts and Slope,"For the line y = 3x − 2, the y-intercept is:",1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 11:30:04,Intercepts and Slope,The x-intercept occurs where:,0,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 11:30:04,Properties of logarithms and Change of Base formula,Use change of base to rewrite log_2(7).,1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 11:33:34,"Slope-intercept form, Point-slope form, and Standard form",Standard form is most commonly written as:,0,
Math Foundations,College Algebra,01 Linear equations and inequalities,4/18/2026 11:33:34,Absolute value equations,Solve: |2x + 1| = 7.,1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 11:33:34,Introduction to logarithms and evaluation,Which expression means 'the exponent to which 10 must be raised to get 100'?,1,
Math Foundations,College Algebra,06 Complex numbers,4/18/2026 11:33:34,Complex conjugates and dividing complex numbers,A common error when using conjugates is to:,1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 11:33:34,Parallel and perpendicular lines,Which line is perpendicular to y = −4x + 7?,1,
Math Foundations,College Algebra,01 Linear equations and inequalities,4/18/2026 11:33:35,Absolute value equations,Solve: |x| = 5.,1,
Math Foundations,College Algebra,12 Transformations of functions,4/18/2026 11:33:35,Scaling functions vertically,"If f(x) = x + 1, what is g(x) = 4f(x)?",1,
Math Foundations,College Algebra,01 Linear equations and inequalities,4/18/2026 11:33:36,Modeling with linear equations,"A line with slope −2 through (0, 6) has equation:",1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 11:33:36,"Slope-intercept form, Point-slope form, and Standard form","Which equation is in point-slope form for the line through (2,-1) with slope 3?",1,
Math Foundations,College Algebra,06 Complex numbers,4/18/2026 11:33:37,"Adding, subtracting, and multiplying complex numbers",Add: (3 + 2i) + (1 − 5i).,1,
Math Foundations,College Algebra,08 Rational expressions and equations,4/18/2026 11:49:15,Adding and subtracting rational expressions,Simplify 1/x + 1/2.,1,
Math Foundations,College Algebra,03 Functions,4/18/2026 11:49:15,"Intervals (Positive/Negative, Increasing/Decreasing)","For f(x) = -x^2 + 4x, on which interval is f increasing?",1,
Math Foundations,College Algebra,03 Functions,4/18/2026 11:49:15,"Intervals (Positive/Negative, Increasing/Decreasing)","If a graph lies below the x-axis on an interval, what does that tell you?",1,
Math Foundations,College Algebra,03 Functions,4/18/2026 11:49:16,"Intervals (Positive/Negative, Increasing/Decreasing)","If f'(x) > 0 on an interval, what must be true about f on that interval?",1,
Math Foundations,College Algebra,11 Advanced function types,4/18/2026 11:49:16,Absolute value and piecewise functions,Evaluate |−7|.,1,
Math Foundations,College Algebra,03 Functions,4/18/2026 11:49:17,"Intervals (Positive/Negative, Increasing/Decreasing)","For f(x) = x^2 - 4, on which interval is f(x) negative?",1,
Math Foundations,College Algebra,11 Advanced function types,4/18/2026 11:49:17,Absolute value and piecewise functions,"If f(x) = x when x ≥ 0 and f(x) = -x when x < 0, what is f(-3)?",1,
Math Foundations,College Algebra,13 Rational exponents and radicals,4/18/2026 11:49:17,Solving square-root and exponential equations,Solve 3^(x+1) = 27.,1,
Math Foundations,College Algebra,11 Advanced function types,4/18/2026 11:49:18,Verifying inverse functions,Which statement verifies that f and g are inverse functions?,1,
Math Foundations,College Algebra,03 Functions,4/18/2026 11:49:19,"Intervals (Positive/Negative, Increasing/Decreasing)","For f(x) = -x^2 + 6x, on which interval is f increasing?",1,
Math Foundations,College Algebra,03 Functions,4/18/2026 12:01:19,Introduction to inverse functions,"If f(3) = 8 and f is invertible, then f^−1(8) =",0,
Math Foundations,College Algebra,03 Functions,4/18/2026 12:01:20,Evaluating functions and function notation,Function notation f(a + h) means:,1,
Math Foundations,College Algebra,11 Advanced function types,4/18/2026 12:01:22,Composite functions,"If f(x) = √x and g(x) = x - 1, what is the domain of (f∘g)(x)?",0,
Math Foundations,College Algebra,03 Functions,4/18/2026 12:01:22,Evaluating functions and function notation,"If f(x) = 2x + 1, then f(3) =",1,
Math Foundations,College Algebra,08 Rational expressions and equations,4/18/2026 12:01:23,"Reducing, multiplying, and dividing rational expressions",Multiply (2x/3)·(9/x^2).,1,
Math Foundations,College Algebra,09 Relating algebra and geometry,4/18/2026 12:01:23,Standard and expanded equations of a circle,Why is x^2 + y^2 + 6x - 8y + 9 = 0 not yet in standard form?,1,
Math Foundations,College Algebra,09 Relating algebra and geometry,4/18/2026 12:01:24,Standard and expanded equations of a circle,Expand (x-2)^2 + (y+1)^2 = 9.,1,
Math Foundations,College Algebra,01 Linear equations and inequalities,4/18/2026 12:01:24,"Equations with parentheses, decimals, and fractions",Solve: 3(x − 2) = 9.,1,
Math Foundations,College Algebra,08 Rational expressions and equations,4/18/2026 12:01:25,"Reducing, multiplying, and dividing rational expressions",Simplify (x^2 - 16)/(x^2 - 4x).,0,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 12:01:25,Vertex form and features of quadratic graphs,The vertex form of a quadratic is:,1,
Math Foundations,College Algebra,04 Quadratics Multiplying and factoring,4/18/2026 13:05:52,Multiplying binomials and special products,A common error when squaring a binomial is to:,1,
Math Foundations,College Algebra,07 Exponents and radicals,4/18/2026 13:05:53,Simplifying square-root expressions,√(ab) = √a · √b is valid in this course when:,0,
Math Foundations,College Algebra,07 Exponents and radicals,4/18/2026 13:05:55,Exponent properties (integer exponents),x^(−2) =,1,
Math Foundations,College Algebra,03 Functions,4/18/2026 13:05:55,Recognizing functions from tables and graphs,"If a table lists x = 2 paired with y = 5 and y = 7, then the relation is:",1,
Math Foundations,College Algebra,03 Functions,4/18/2026 13:05:55,Domain and range,What is the domain of f(x) = 1/(x − 3)?,1,
Math Foundations,College Algebra,03 Functions,4/18/2026 13:05:55,Domain and range,The domain of a function is the set of:,1,
Math Foundations,College Algebra,03 Functions,4/18/2026 13:05:56,Recognizing functions from tables and graphs,A relation is a function if each x-value has:,1,
Math Foundations,College Algebra,09 Relating algebra and geometry,4/18/2026 13:05:56,Distance and Midpoint formulas,"Find the midpoint of (-1,3) and (5,-1).",1,
Math Foundations,College Algebra,03 Functions,4/18/2026 13:05:56,Recognizing functions from tables and graphs,Which graph test checks whether a graph represents a function?,1,
Math Foundations,College Algebra,01 Linear equations and inequalities,4/18/2026 13:05:56,Number of solutions to equations,"If an equation simplifies to 5 = −1, then it has:",1,
Math Foundations,College Algebra,12 Transformations of functions,4/18/2026 13:17:12,Shifting and reflecting functions,"If f(x) = x^2, what is y = -f(x)?",1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 13:17:12,"Solving quadratics by square roots, factoring, and completing the square",Solve x^2 = 49.,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 13:17:12,"Solving quadratics by square roots, factoring, and completing the square",Solve x^2 − 5x + 6 = 0 by factoring.,1,
Math Foundations,College Algebra,06 Complex numbers,4/18/2026 13:17:13,The imaginary unit i,i^4 =,1,
Math Foundations,College Algebra,12 Transformations of functions,4/18/2026 13:17:14,Symmetry (Even and Odd functions),Which function is even?,1,
Math Foundations,College Algebra,04 Quadratics Multiplying and factoring,4/18/2026 13:17:14,"Factoring quadratics (intro, grouping, difference of squares, perfect squares)",Factor x^2 + 6x + 9.,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 13:17:14,"Solving quadratics by square roots, factoring, and completing the square",Why can completing the square solve any quadratic with leading coefficient 1?,1,
Math Foundations,College Algebra,10 Polynomial arithmetic,4/18/2026 13:17:15,"Adding, subtracting, and factoring higher-degree polynomials",Why is factoring useful before solving a polynomial equation?,1,
Math Foundations,College Algebra,01 Linear equations and inequalities,4/18/2026 13:17:15,Multi-step and compound inequalities,The solution to a compound inequality joined by 'and' is the:,1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 13:17:15,Relationship between exponentials and logs,Which equation is equivalent to 2^3 = 8?,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 13:22:49,The Quadratic Formula,"For x^2 − 5x + 6 = 0, the discriminant is:",1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 13:22:49,Properties of logarithms and Change of Base formula,Expand log_3(x^2y).,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 13:22:49,The Quadratic Formula,"If b^2 − 4ac < 0, a quadratic has:",1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 13:22:50,Properties of logarithms and Change of Base formula,Which property is correct for positive x and y?,1,
Math Foundations,College Algebra,10 Polynomial arithmetic,4/18/2026 13:22:50,Average rate of change of polynomials,"For f(x) = x^2, find the average rate of change on [1,3].",1,
Math Foundations,College Algebra,07 Exponents and radicals,4/18/2026 13:26:05,Graphing exponential growth and decay,Which function shows exponential decay?,1,
Math Foundations,College Algebra,05 Quadratic functions and equations,4/18/2026 13:26:05,Interpreting quadratic models,Zeros of a quadratic model in context often represent:,1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 13:26:06,Introduction to logarithms and evaluation,Evaluate log_2(8).,1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 13:26:06,Parallel and perpendicular lines,Two distinct vertical lines are:,1,
Math Foundations,College Algebra,02 Graphs and forms of linear equations,4/18/2026 13:26:06,Intercepts and Slope,"The slope of a line through (x1, y1) and (x2, y2) is:",1,
Math Foundations,College Algebra,13 Rational exponents and radicals,4/18/2026 13:29:28,Rational exponents and properties,Which property is valid for positive a and b?,1,
Math Foundations,College Algebra,13 Rational exponents and radicals,4/18/2026 13:29:28,Rational exponents and properties,Simplify (x^(2/3))^3.,0,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 13:36:11,Exponential model word problems,A bacteria culture doubles every hour and starts with 12 cells. How many cells after 3 hours?,1,
Math Foundations,College Algebra,14 Logarithms,4/18/2026 13:36:12,Exponential model word problems,An investment of 2000 loses 5% each year. What is its value after 1 year?,1,
Programming Foundations,Python Data Types,01 Advanced Sequence Ops,4/18/2026 13:38:13,Tuple Unpacking & Data Integrity,What is a gotcha mentioned about tuple creation?,1,
Programming Foundations,Python Data Types,01 Advanced Sequence Ops,4/18/2026 13:38:13,"List Extension, Location, & Removal","Location,& Removal,If baby_names.index('Rowen') is called when 'Rowen' is not present, what should you expect?",0,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/18/2026 13:41:48,Immutable Ordered Data (Tuples),Why does the lesson say tuples matter?,1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:41:49,Variables as Labeled Containers,Which example matches the lesson’s convention best?,1,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/18/2026 13:41:49,Repeating over Iterables (For Loops),What does the lesson call the placeholder name for each item during the loop?,1,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/18/2026 13:41:49,Conditional Repetition (While Loops),"In the example with items_added += 1, why is that line essential?",1,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/18/2026 13:41:49,Conditional Repetition (While Loops),How does the lesson contrast while with if?,1,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/18/2026 13:41:50,Conditionals & Comparison Operators,What interesting comparison note is included in the lesson?,1,
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,4/18/2026 13:41:50,Immutable Ordered Data (Tuples),Which description best matches a tuple in the lesson?,1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:41:50,"Multi-line Strings ("""""")","In the example recipe_steps = ''' ... ''' conceptually, what is being stored?",0,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/18/2026 13:41:51,Repeating over Iterables (For Loops),Which objects are explicitly listed as things a for loop can iterate over?,1,
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,4/18/2026 13:41:51,"Workflow Keywords: in, not, and, or","not,and,or,What does not do?",1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:43:49,Variables as Labeled Containers,What is a variable in the lesson’s mental model?,1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:43:50,"Multi-line Strings ("""""")",Which use case is explicitly mentioned for multi-line strings?,1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:43:50,"Basic Data Types: str, int, float, bool","int,float,bool,What is the capitalization rule for booleans in Python from the lesson?",0,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:46:08,Inspection with type(),Why is type() especially useful in the notes?,1,
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,4/18/2026 13:46:08,Inspection with type(),What does type(x) return according to the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,4/19/2026 13:03:55,Mapping Functions with map(),"What does map(function, iterable) do in the lesson?",1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:03:55,Standard Modules: os and string,Which statement correctly matches the purpose of the os module in the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,4/19/2026 13:03:55,Mapping Functions with map(),Why does the lesson wrap cap with list(cap) after using map()?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:03:56,Standard Modules: os and string,What does os.getcwd() return?,1,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:03:56,Recovery with try/except,What is the main goal of try/except in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:03:56,Public Libraries: pandas for Dataframes,Which expression creates a DataFrame from a dictionary in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,4/19/2026 13:03:56,Documentation with Docstrings,What multi-line docstring structure is shown in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,4/19/2026 13:03:57,Documentation with Docstrings,Where should a docstring be placed according to the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:03:57,Built-in Functions for Efficiency,What does sorted(iterable) return according to the notes?,0,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:13:14,Recovery with try/except,"In the OOP lesson’s invert_at_index example, what specific errors are handled?",0,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:13:14,Enforcing Rules with raise,Why is raising a custom message useful?,1,
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,4/19/2026 13:13:14,"Positional, Keyword, & Default Arguments","Keyword,& Default Arguments,In def average(values, rounded=False):, what happens if you call average(preparation_times) with one argument?",1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:13:14,Standard Modules: os and string,Which item comes from the string module as shown in the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,4/19/2026 13:13:15,Arbitrary Inputs: *args and **kwargs,What does **kwargs collect inside a function?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:16:44,Public Libraries: pandas for Dataframes,Which expression creates a DataFrame from a dictionary in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:16:44,Enforcing Rules with raise,How does the lesson contrast raise with try/except?,1,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:16:44,Recovery with try/except,"In the average_safe example, what happens if a TypeError occurs?",1,
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,4/19/2026 13:16:46,Documentation with Docstrings,Where should a docstring be placed according to the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:16:46,Recovery with try/except,Which structure correctly matches the lesson’s pattern?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:23:39,Standard Modules: os and string,Which statement correctly matches the purpose of the os module in the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:23:39,Public Libraries: pandas for Dataframes,What is pandas described as in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:23:39,Public Libraries: pandas for Dataframes,What is df.info() used for in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,4/19/2026 13:23:41,"Positional, Keyword, & Default Arguments","Keyword,& Default Arguments,Which call style is a keyword-argument example from the notes?",0,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:23:41,Standard Modules: os and string,What does os.getcwd() return?,1,
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,4/19/2026 13:35:33,Global Functions vs. Object-specific Methods,Which example from the notes is a function rather than a method?,1,
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,4/19/2026 13:35:33,Lambda Functions for Fast Transformations,What is a lambda function in the lesson?,1,
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,4/19/2026 13:35:33,Recovery with try/except,Why is try/except useful according to the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,4/19/2026 13:35:34,Lambda Functions for Fast Transformations,Why would a custom def usually be preferred over lambda for more complex logic?,1,
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,4/19/2026 13:35:34,Mapping Functions with map(),What kind of object does map() return according to the notes?,1,
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,4/19/2026 13:37:37,Documentation with Docstrings,Which tool shows the full help output including a function’s docstring and signature?,1,
