Track,Course,Unit Number: Lesson Name,Topic (Sub-Lesson),Question Bank,Total Attempts,Accuracy,Last Date Attempted,Days Since,Master Priority
Math Foundations,Calculus,01 Limits and continuity,Estimating limits and one-sided limits,10,2,100%,4/16/2026,51.50662375,23.21%
Math Foundations,Calculus,01 Limits and continuity,"Limits by direct substitution, factoring, and conjugates",10,6,100%,4/17/2026,50.34773836,19.94%
Math Foundations,Calculus,01 Limits and continuity,Limits of trigonometric functions,10,6,50%,4/17/2026,50.34395104,44.94%
Math Foundations,Calculus,01 Limits and continuity,The Squeeze Theorem,9,3,67%,4/17/2026,50.34393343,38.05%
Math Foundations,Calculus,01 Limits and continuity,Types of discontinuities,10,2,100%,4/17/2026,50.34394956,22.80%
Math Foundations,Calculus,01 Limits and continuity,Intermediate Value Theorem (IVT),10,4,75%,4/17/2026,50.34394189,33.30%
Math Foundations,Calculus,02 Derivatives,Derivative as slope and rate of change,10,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,"Derivative rules (Power rule, Product, Quotient)",10,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Derivatives of sin(x) and cos(x),10,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Chain Rule and Implicit differentiation,15,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Higher-order derivatives and Second derivatives,5,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Optimization and Related rates,15,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Antiderivatives and Indefinite integrals,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Reverse Power Rule,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,"Indefinite integrals of ex,1/x,sin, and cos",8,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,"Riemann sums (Left, Right, Midpoint, Trapezoidal)",5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Definite integrals and the Fundamental Theorem of Calculus,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,u-substitution,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Area between curves,5,1,100%,6/7/2026,-0.8931691319,7.18%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,Limits and continuity review,5,1,100%,4/19/2026,48.34397473,24.59%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,"Power rule, product rule, and quotient rule",8,1,100%,4/25/2026,42.59998854,22.56%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,The Chain Rule for composite functions,5,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,Tangent lines and linear approximations,5,2,100%,4/26/2026,41.92954515,19.82%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,Finding local minima and maxima,5,1,100%,4/19/2026,48.34398421,24.59%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Functions of several variables,3,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Partial derivatives and the Gradient vector,4,1,0%,4/14/2026,53.95804116,76.58%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Higher-order derivatives and the Hessian matrix,4,1,100%,4/14/2026,53.95803277,26.58%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Directional derivatives,4,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,Introduction to Gradient Descent,5,1,100%,4/26/2026,41.92957019,22.32%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,Learning rate and convergence,10,1,100%,4/14/2026,53.96752106,26.58%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,"Gradients of cost functions (e.g., Mean Squared Error)",5,1,100%,4/26/2026,41.9295676,22.32%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,Newton's Method for optimization,5,2,50%,4/19/2026,48.3439709,47.09%
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,Computational graphs and the Chain Rule in graphs,4,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,Activations and Activation Functions,15,2,100%,4/14/2026,53.95803851,24.08%
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,Backpropagation algorithm math,5,1,100%,4/14/2026,53.95804794,26.58%
Math Foundations,College Algebra,01 Linear equations and inequalities,"Equations with parentheses, decimals, and fractions",5,1,100%,4/18/2026,49.49902472,25.00%
Math Foundations,College Algebra,01 Linear equations and inequalities,Number of solutions to equations,5,1,100%,4/18/2026,49.45420741,24.98%
Math Foundations,College Algebra,01 Linear equations and inequalities,Multi-step and compound inequalities,5,1,100%,4/18/2026,49.44635481,24.98%
Math Foundations,College Algebra,01 Linear equations and inequalities,Modeling with linear equations,5,1,100%,4/18/2026,49.51833821,25.01%
Math Foundations,College Algebra,01 Linear equations and inequalities,Absolute value equations,4,2,100%,4/18/2026,49.51834751,22.51%
Math Foundations,College Algebra,02 Graphs and forms of linear equations,"Slope-intercept form, Point-slope form, and Standard form",12,2,50%,4/18/2026,49.51833128,47.51%
Math Foundations,College Algebra,02 Graphs and forms of linear equations,Intercepts and Slope,5,3,67%,4/18/2026,49.44020634,37.73%
Math Foundations,College Algebra,02 Graphs and forms of linear equations,Parallel and perpendicular lines,5,2,100%,4/18/2026,49.44020925,22.48%
Math Foundations,College Algebra,03 Functions,"Intervals (Positive/Negative, Increasing/Decreasing)",13,5,100%,4/18/2026,49.50742227,20.00%
Math Foundations,College Algebra,03 Functions,Introduction to inverse functions,5,1,0%,4/18/2026,49.49908245,75.00%
Math Foundations,College Algebra,03 Functions,Evaluating functions and function notation,5,2,100%,4/18/2026,49.49905134,22.50%
Math Foundations,College Algebra,03 Functions,Domain and range,5,2,100%,4/18/2026,49.45422051,22.48%
Math Foundations,College Algebra,03 Functions,Recognizing functions from tables and graphs,5,3,100%,4/18/2026,49.45421086,21.23%
Math Foundations,College Algebra,04 Quadratics Multiplying and factoring,"Factoring quadratics (intro, grouping, difference of squares, perfect squares)",5,1,100%,4/18/2026,49.44636476,24.98%
Math Foundations,College Algebra,04 Quadratics Multiplying and factoring,Multiplying binomials and special products,5,1,100%,4/18/2026,49.45426046,24.98%
Math Foundations,College Algebra,05 Quadratic functions and equations,"Solving quadratics by square roots, factoring, and completing the square",13,3,100%,4/18/2026,49.44636127,21.23%
Math Foundations,College Algebra,05 Quadratic functions and equations,Vertex form and features of quadratic graphs,5,1,100%,4/18/2026,49.49901788,25.00%
Math Foundations,College Algebra,05 Quadratic functions and equations,Interpreting quadratic models,5,1,100%,4/18/2026,49.4402169,24.98%
Math Foundations,College Algebra,05 Quadratic functions and equations,The Quadratic Formula,5,4,100%,4/18/2026,49.44248519,20.48%
Math Foundations,College Algebra,06 Complex numbers,Complex conjugates and dividing complex numbers,5,1,100%,4/18/2026,49.5183537,25.01%
Math Foundations,College Algebra,06 Complex numbers,The imaginary unit i,5,1,100%,4/18/2026,49.44637466,24.98%
Math Foundations,College Algebra,06 Complex numbers,"Adding, subtracting, and multiplying complex numbers",5,1,100%,4/18/2026,49.51832336,25.01%
Math Foundations,College Algebra,07 Exponents and radicals,Simplifying square-root expressions,5,1,0%,4/18/2026,49.45424666,74.98%
Math Foundations,College Algebra,07 Exponents and radicals,Graphing exponential growth and decay,5,3,100%,4/18/2026,49.44021888,21.23%
Math Foundations,College Algebra,07 Exponents and radicals,Exponent properties (integer exponents),5,1,100%,4/18/2026,49.45422987,24.98%
Math Foundations,College Algebra,08 Rational expressions and equations,"Reducing, multiplying, and dividing rational expressions",6,2,50%,4/18/2026,49.49902148,47.50%
Math Foundations,College Algebra,08 Rational expressions and equations,Adding and subtracting rational expressions,5,1,100%,4/18/2026,49.50746748,25.00%
Math Foundations,College Algebra,08 Rational expressions and equations,Solving rational equations and modeling,5,2,100%,4/18/2026,49.5208049,22.51%
Math Foundations,College Algebra,09 Relating algebra and geometry,Distance and Midpoint formulas,5,1,100%,4/18/2026,49.45421403,24.98%
Math Foundations,College Algebra,09 Relating algebra and geometry,Standard and expanded equations of a circle,5,2,100%,4/18/2026,49.49902822,22.50%
Math Foundations,College Algebra,10 Polynomial arithmetic,Average rate of change of polynomials,5,1,100%,4/18/2026,49.44247911,24.98%
Math Foundations,College Algebra,10 Polynomial arithmetic,"Adding, subtracting, and factoring higher-degree polynomials",5,1,100%,4/18/2026,49.44635789,24.98%
Math Foundations,College Algebra,11 Advanced function types,Absolute value and piecewise functions,5,2,100%,4/18/2026,49.50744424,22.50%
Math Foundations,College Algebra,11 Advanced function types,Composite functions,5,1,0%,4/18/2026,49.49905404,75.00%
Math Foundations,College Algebra,11 Advanced function types,Verifying inverse functions,5,1,100%,4/18/2026,49.50742681,25.00%
Math Foundations,College Algebra,12 Transformations of functions,Shifting and reflecting functions,4,1,100%,4/18/2026,49.44639177,24.98%
Math Foundations,College Algebra,12 Transformations of functions,Symmetry (Even and Odd functions),5,1,100%,4/18/2026,49.44636772,24.98%
Math Foundations,College Algebra,12 Transformations of functions,Scaling functions vertically,5,1,100%,4/18/2026,49.51834469,25.01%
Math Foundations,College Algebra,13 Rational exponents and radicals,Rational exponents and properties,5,2,50%,4/18/2026,49.4378699,47.48%
Math Foundations,College Algebra,13 Rational exponents and radicals,Solving square-root and exponential equations,5,1,100%,4/18/2026,49.50743866,25.00%
Math Foundations,College Algebra,14 Logarithms,Relationship between exponentials and logs,5,1,100%,4/18/2026,49.44635181,24.98%
Math Foundations,College Algebra,14 Logarithms,Exponential model word problems,5,2,100%,4/18/2026,49.43319935,22.48%
Math Foundations,College Algebra,14 Logarithms,Introduction to logarithms and evaluation,5,2,100%,4/18/2026,49.44021252,22.48%
Math Foundations,College Algebra,14 Logarithms,Properties of logarithms and Change of Base formula,5,4,100%,4/18/2026,49.4424822,20.48%
Programming Foundations,Data Structures and Algorithms,01 Efficiency & Foundations,Logic (Algorithms) vs. Storage (Structures),5,2,100%,4/19/2026,48.34180333,22.09%
Programming Foundations,Data Structures and Algorithms,01 Efficiency & Foundations,Singly Linked Lists & Node Storage,5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,01 Efficiency & Foundations,Big O Notation & Runtime Complexity,5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,02 Abstract Data Types,"FIFO Queues (Buffers, Job Lists)",5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,02 Abstract Data Types,Fast Lookup with Hash Tables (Dictionaries),5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,02 Abstract Data Types,"LIFO Stacks (Undo, Call Stack)",5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,03 Hierarchical & Network Data,"Tree Structures (Root, Parent, Child)",5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,03 Hierarchical & Network Data,"Directed, Undirected, & Weighted Graphs",5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,03 Hierarchical & Network Data,Recursion vs. Dynamic Programming (Memoization),5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,04 Search & Traversal,Linear Search vs. Binary Search,5,2,100%,4/19/2026,48.34179997,22.09%
Programming Foundations,Data Structures and Algorithms,04 Search & Traversal,Binary Search Trees (BST),5,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,04 Search & Traversal,Depth First (DFS) vs. Breadth First (BFS) Search,5,1,0%,4/19/2026,48.34180686,74.59%
Programming Foundations,Data Structures and Algorithms,05 Sorting Techniques,"Quadratic Sorts: Bubble, Selection, Insertion",4,0,,,99,100.00%
Programming Foundations,Data Structures and Algorithms,05 Sorting Techniques,Divide & Conquer: Merge Sort and Quicksort,5,0,,,99,100.00%
Programming Foundations,Efficient Iteration & Memory Optimization,01 The Iterator Protocol,Iterable vs. Iterator Mental Model,5,3,67%,4/19/2026,48.42772826,37.37%
Programming Foundations,Efficient Iteration & Memory Optimization,01 The Iterator Protocol,Unpacking & Consuming with the * Operator,5,1,100%,4/19/2026,48.42772473,24.62%
Programming Foundations,Efficient Iteration & Memory Optimization,01 The Iterator Protocol,Understanding the for Loop Mechanism,5,0,,,99,100.00%
Programming Foundations,Efficient Iteration & Memory Optimization,01 The Iterator Protocol,Manual Control with iter() and next(),5,1,100%,4/19/2026,48.42773156,24.62%
Programming Foundations,Efficient Iteration & Memory Optimization,02 Iteration Helpers,Stitching Data with zip(),5,3,100%,4/19/2026,48.4277102,20.87%
Programming Foundations,Efficient Iteration & Memory Optimization,02 Iteration Helpers,Index Tracking with enumerate(),5,2,100%,4/19/2026,48.42771384,22.12%
Programming Foundations,Efficient Iteration & Memory Optimization,02 Iteration Helpers,Iterating Dictionary .items(),5,1,100%,4/19/2026,48.42771741,24.62%
Programming Foundations,Efficient Iteration & Memory Optimization,03 Comprehensions,Building Lists efficiently,5,0,,,99,100.00%
Programming Foundations,Efficient Iteration & Memory Optimization,03 Comprehensions,Dictionary Comprehensions,5,0,,,99,100.00%
Programming Foundations,Efficient Iteration & Memory Optimization,03 Comprehensions,Logic & Filtering with Modulo (%),5,0,,,99,100.00%
Programming Foundations,Efficient Iteration & Memory Optimization,04 Lazy Evaluation & Big Data,Generator Expressions (Memory-Safe),5,1,100%,4/19/2026,48.42770669,24.62%
Programming Foundations,Efficient Iteration & Memory Optimization,04 Lazy Evaluation & Big Data,Custom Generators with yield,5,3,67%,4/19/2026,48.42772108,37.37%
Programming Foundations,Efficient Iteration & Memory Optimization,04 Lazy Evaluation & Big Data,Chunked pandas Loads for Large Datasets,5,0,,,99,100.00%
Programming Foundations,Efficient Iteration & Memory Optimization,04 Lazy Evaluation & Big Data,Streaming File Connections,5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,Singularity and solvability of systems,5,2,50%,4/14/2026,53.94105833,49.07%
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,Elementary row operations and Gaussian elimination,5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,REF and Reduced Row Echelon Form (RREF),5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,Linear dependence and independence,5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,Rank of a matrix,5,2,100%,4/14/2026,53.94105427,24.07%
Mathematics for Machine Learning,Linear Algebra for ML,01 Systems of Linear Equations and Matrices,Representing systems of linear equations as matrices,4,2,100%,4/14/2026,53.94106207,24.07%
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,"Vector operations: Addition, scalar multiplication, and dot products",3,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,Geometric interpretation of vectors and transformations,3,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,Matrix multiplication as a composition of transformations,5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,Inverse matrices and their role in transformations,4,1,100%,4/14/2026,53.94105119,26.57%
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,Determinants: Geometric meaning and calculation,5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,02 Vectors and Linear Transformations,Linear transformations and matrix-vector multiplication,3,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",Vector spaces and subspaces,4,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",Basis and dimension of a space,4,1,100%,4/26/2026,41.92954771,22.32%
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",Changing the basis of a vector space,4,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",Orthogonality and orthonormal bases,3,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",Projections of vectors onto subspaces,5,1,0%,4/14/2026,53.94107068,76.57%
Mathematics for Machine Learning,Linear Algebra for ML,"03 Vector Spaces, Bases, and Projections",Applications: Least squares and linear regression foundations,5,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,Intuition behind eigenvectors and eigenvalues,4,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,The characteristic equation and solving for eigenvalues,5,3,67%,4/25/2026,42.59998106,35.31%
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,Eigenspaces and basis of eigenvectors,4,0,,,99,100.00%
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,Diagonalization of matrices,5,2,100%,4/14/2026,53.94106767,24.07%
Mathematics for Machine Learning,Linear Algebra for ML,04 Eigenvalues and Eigenvectors,Application: PCA and PageRank algorithm,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Building Neural Networks with TensorFlow Sequential,39,3,100%,4/17/2026,50.3371747,21.55%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Multiple Random Initializations for Better Clustering,25,2,100%,4/14/2026,53.93407591,24.07%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,General Dense Layer Implementation,20,1,100%,4/17/2026,50.33718741,25.30%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Tensors vs. NumPy Arrays,15,3,100%,6/7/2026,-0.5762947685,3.55%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Density Estimation for Anomaly Detection,15,2,100%,4/19/2026,48.35613205,22.10%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Anomaly Detection,15,5,80%,4/14/2026,53.96744862,31.58%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Artificial Neurons vs. Biological Neurons,15,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Neural Networks as Learned Feature Engineering,15,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Activations and Activation Functions,15,2,100%,4/14/2026,53.95803851,24.08%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Neural Network Architecture,15,1,100%,4/19/2026,48.35613947,24.60%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Forward Propagation,15,3,100%,6/7/2026,-0.7118274769,3.50%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Handwritten Digit Recognition with Neural Networks,15,2,100%,4/17/2026,50.34020672,22.80%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,TensorFlow Dense Layers,15,1,0%,6/7/2026,-0.7087866088,57.25%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Efficient Neural Network Vectorization,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Matrix Multiplication for Neural Networks,10,1,100%,6/7/2026,-0.7087624306,7.25%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Training Neural Networks in TensorFlow,10,1,100%,6/7/2026,-0.7118240046,7.25%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Binary Cross-Entropy,9,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Backpropagation,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,ReLU Activation Function,8,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Choosing Activation Functions for Output Layers,10,1,100%,4/19/2026,48.35615971,24.60%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Why ReLU Is Preferred in Hidden Layers,10,1,100%,6/7/2026,-0.7087836806,7.25%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Binary Classification vs. Regression Output Design,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Clustering vs. Supervised Classification,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Clustering as Structure Discovery in Unlabeled Data,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",K-Means Clustering,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Cluster Centroids,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",K-Means Assignment Step,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",K-Means Centroid Update Step,10,2,100%,4/14/2026,53.93406277,24.07%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",K-Means Convergence,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",K-Means Cost Function / Distortion Objective,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Why K-Means Converges,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Random Initialization in K-Means,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Limits of the Elbow Method,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Anomaly Detection,15,5,80%,4/14/2026,53.96744862,31.58%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Gaussian / Normal Distribution,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Anomaly Threshold Epsilon,10,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Collaborative Filtering for Recommender Systems,10,1,100%,6/7/2026,-0.7087811458,7.25%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Neural Network Layers as Logistic Units,9,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Implementing Forward Propagation from Scratch,9,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Loss Function vs. Cost Function,9,2,100%,6/7/2026,-0.8057965278,4.72%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Choosing the Number of Clusters K,7,0,,,99,100.00%
