Track,Course,Unit Number: Lesson Name,Topic (Sub-Lesson),Question Bank,Total Attempts,Accuracy,Last Date Attempted,Days Since,Master Priority
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Choosing K Based on Downstream Use,7,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,What Machine Learning Is,5,1,100%,4/14/2026,53.96748344,26.58%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,When to Use Machine Learning,5,4,100%,4/14/2026,53.96745294,22.08%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Supervised vs. Unsupervised Learning,5,1,100%,4/17/2026,50.33720325,25.30%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Regression vs. Classification,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Clustering in Unsupervised Learning,5,2,100%,4/14/2026,53.96751528,24.08%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Dimensionality Reduction,5,1,100%,6/7/2026,-0.70876375,7.25%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Linear Regression Model,5,1,100%,6/7/2026,-0.7118153935,7.25%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Model Parameters: Weights and Bias,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Cost Function and Squared Error,5,1,100%,4/14/2026,53.96749675,26.58%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Cost Function Intuition and Model Fit,5,1,100%,4/14/2026,53.96747689,26.58%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Visualizing the Cost Function,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Gradient Descent,5,2,100%,4/14/2026,53.96747991,24.08%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Derivatives and Gradient Descent Intuition,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Learning Rate and Convergence,10,1,100%,4/14/2026,53.96752106,26.58%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Batch Gradient Descent,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Why Linear Regression’s Cost Function Has a Global Minimum,5,2,100%,4/14/2026,53.96746671,24.08%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Multiple Linear Regression,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Vector and Dot Product Notation,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Gradient Descent for Multiple Linear Regression,5,1,100%,4/14/2026,53.9674637,26.58%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Normal Equation vs. Gradient Descent,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Neural Networks vs. Decision Trees,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Inference vs. Training in Neural Networks,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,Why Neural Networks Work Well with Large Data,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Advanced Learning Algorithms,"Input Layer, Hidden Layer, and Output Layer",5,1,100%,4/13/2026,54.14166735,26.64%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Mean and Variance in Gaussian Modeling,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Multivariate Anomaly Detection via Per-Feature Gaussians,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Building and Evaluating an Anomaly Detection System,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Cross-Validation for Anomaly Detection,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Anomaly Detection vs. Supervised Learning,5,1,100%,4/17/2026,50.3402169,25.30%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",When to Use Anomaly Detection,5,1,100%,4/17/2026,50.3402103,25.30%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Feature Engineering for Anomaly Detection,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Transforming Features to Be More Gaussian,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Recommender Systems with Per-Item Features,5,1,100%,4/17/2026,50.34021366,25.30%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Collaborative Filtering Without Hand-Crafted Features,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Joint Optimization of User Parameters and Item Features,5,1,100%,4/14/2026,53.93407927,26.57%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Binary Label Recommender Systems,5,1,100%,4/19/2026,48.35613535,24.60%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Logistic-Style Collaborative Filtering,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Mean Normalization in Recommender Systems,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Cold Start for New Users,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",TensorFlow AutoDiff for Collaborative Filtering,5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,Vectorization,4,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Estimating Gaussian Parameters from Data,4,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",User Parameters and Item Features,4,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement",Learning Item Features from User Ratings,4,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,Supervised Machine Learning,"Training Set, Features, Targets, and Predictions",5,0,,,99,100.00%
Machine Learning,Machine Learning Specialization,"Unsupervised Learning, Recommenders, Reinforcement","Precision, Recall, and F1 for Rare Anomalies",5,0,,,99,100.00%
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,Standard Modules: os and string,4,5,100%,4/19/2026,48.44188091,19.63%
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,Global Functions vs. Object-specific Methods,5,2,100%,4/19/2026,48.43220487,22.12%
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,Built-in Functions for Efficiency,5,1,0%,4/19/2026,48.45559267,74.63%
Programming Foundations,"Modularity, Packages & Robust Code",01 Leveraging Existing Tools,Public Libraries: pandas for Dataframes,5,5,80%,4/19/2026,48.43220128,29.62%
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,The DRY Principle (Don’t Repeat Yourself),5,4,100%,4/19/2026,48.43119576,20.12%
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,"Positional, Keyword, & Default Arguments",5,2,50%,4/19/2026,48.44188422,47.13%
Programming Foundations,"Modularity, Packages & Robust Code",02 Custom Function Design,Documentation with Docstrings,5,6,100%,4/19/2026,48.43119209,19.26%
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,Mapping Functions with map(),5,3,100%,4/19/2026,48.43363519,20.87%
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,Arbitrary Inputs: *args and **kwargs,5,1,100%,4/19/2026,48.44913537,24.63%
Programming Foundations,"Modularity, Packages & Robust Code",03 Advanced Functional Tools,Lambda Functions for Fast Transformations,5,2,100%,4/19/2026,48.43363922,22.12%
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,Recovery with try/except,5,5,80%,4/19/2026,48.43364368,29.62%
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,Reading Tracebacks & Exception Types,5,1,100%,4/19/2026,48.43219822,24.62%
Programming Foundations,"Modularity, Packages & Robust Code",04 Error Handling & Debugging,Enforcing Rules with raise,5,2,100%,4/19/2026,48.44671529,22.13%
Programming Foundations,Object-Oriented Programming (OOP) in Python,01 The OOP Framework,Procedural vs. Object-Oriented Thinking,5,2,100%,4/17/2026,50.34159564,22.80%
Programming Foundations,Object-Oriented Programming (OOP) in Python,01 The OOP Framework,Class Blueprints vs. Object Instances,5,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,01 The OOP Framework,The self Reference & Constructors (init),5,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,02 Attributes & Methods,Alternative Constructors with @classmethod,5,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,02 Attributes & Methods,Property Getters & Setters for Validation,5,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,02 Attributes & Methods,Instance vs. Class Shared Attributes,5,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,Code Reuse via Inheritance (“is-a”),5,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,Polymorphism: Programming via Interfaces,5,1,100%,4/17/2026,50.34159845,25.30%
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,Liskov Substitution Principle (LSP),5,1,100%,4/17/2026,50.34160125,25.30%
Programming Foundations,Object-Oriented Programming (OOP) in Python,03 Reuse & Flexibility,Overriding & Customizing Inherited Behavior,5,1,100%,4/17/2026,50.34160616,25.30%
Programming Foundations,Object-Oriented Programming (OOP) in Python,04 Native Integration,Access Control: Public vs. Internal APIs,4,0,,,99,100.00%
Programming Foundations,Object-Oriented Programming (OOP) in Python,04 Native Integration,"Operator Overloading: eq, str, repr",5,0,,,99,100.00%
Math Foundations,Precalculus,01 Composite and inverse functions,Composing functions and modeling,6,0,,,99,100.00%
Math Foundations,Precalculus,01 Composite and inverse functions,Invertible functions and restricting domains,5,0,,,99,100.00%
Math Foundations,Precalculus,01 Composite and inverse functions,Verifying inverse functions,5,1,100%,4/18/2026,49.50742681,25.00%
Math Foundations,Precalculus,10 Limits and continuity,Defining and estimating limits (Graphs and Tables),5,0,,,99,100.00%
Math Foundations,Precalculus,10 Limits and continuity,Limit properties and algebraic manipulation,5,0,,,99,100.00%
Math Foundations,Precalculus,10 Limits and continuity,Continuity and the Intermediate Value Theorem,5,0,,,99,100.00%
Math Foundations,Precalculus,02 Trigonometry,Special trig values and identities on the unit circle,5,0,,,99,100.00%
Math Foundations,Precalculus,02 Trigonometry,Inverse trigonometric functions,5,1,0%,6/7/2026,-0.8987358796,57.18%
Math Foundations,Precalculus,02 Trigonometry,Laws of sines and cosines,4,0,,,99,100.00%
Math Foundations,Precalculus,02 Trigonometry,Sinusoidal equations and models,3,0,,,99,100.00%
Math Foundations,Precalculus,02 Trigonometry,Angle addition identities,6,0,,,99,100.00%
Math Foundations,Precalculus,03 Complex numbers,"The complex plane (Distance, Midpoint, Conjugates)",5,0,,,99,100.00%
Math Foundations,Precalculus,03 Complex numbers,Modulus and argument,5,0,,,99,100.00%
Math Foundations,Precalculus,03 Complex numbers,Polar form of complex numbers,5,0,,,99,100.00%
Math Foundations,Precalculus,03 Complex numbers,Multiplying/Dividing complex numbers in polar form,5,0,,,99,100.00%
Math Foundations,Precalculus,03 Complex numbers,The Fundamental Theorem of Algebra,5,0,,,99,100.00%
Math Foundations,Precalculus,04 Rational functions,End behavior and discontinuities (Asymptotes),5,0,,,99,100.00%
Math Foundations,Precalculus,04 Rational functions,Graphs of rational functions,5,0,,,99,100.00%
Math Foundations,Precalculus,04 Rational functions,Advanced rational expression arithmetic,4,0,,,99,100.00%
Math Foundations,Precalculus,05 Conic sections,Introduction to ellipses and hyperbolas,5,0,,,99,100.00%
Math Foundations,Precalculus,05 Conic sections,"Foci, vertices, and equations of conics",5,0,,,99,100.00%
Math Foundations,Precalculus,06 Vectors,"Vector components, magnitude, and direction",5,0,,,99,100.00%
Math Foundations,Precalculus,06 Vectors,"Scalar multiplication, addition, and subtraction",5,0,,,99,100.00%
Math Foundations,Precalculus,06 Vectors,Vector word problems,5,0,,,99,100.00%
Math Foundations,Precalculus,07 Matrices,"Matrix arithmetic (Addition, Subtraction, Scalar Multiplication)",5,1,100%,6/7/2026,-0.9035172801,7.18%
Math Foundations,Precalculus,07 Matrices,Matrices as transformations of the plane,5,0,,,99,100.00%
Math Foundations,Precalculus,07 Matrices,Matrix multiplication and properties,5,0,,,99,100.00%
Math Foundations,Precalculus,07 Matrices,Inverses and solving systems with matrices,4,0,,,99,100.00%
Math Foundations,Precalculus,08 Probability and combinatorics,Venn diagrams and addition/multiplication rules,3,0,,,99,100.00%
Math Foundations,Precalculus,08 Probability and combinatorics,Permutations and combinations,4,0,,,99,100.00%
Math Foundations,Precalculus,08 Probability and combinatorics,Discrete random variables and Expected Value,2,0,,,99,100.00%
Math Foundations,Precalculus,09 Series,Arithmetic and Geometric series,5,1,100%,6/7/2026,-0.893171169,7.18%
Math Foundations,Precalculus,09 Series,Summation notation,5,0,,,99,100.00%
Math Foundations,Precalculus,09 Series,The Binomial Theorem,5,3,67%,6/7/2026,-0.5685105556,20.05%
Mathematics for Machine Learning,Prob & Stats for ML,01 Descriptive Stats and Data Viz,"Measures of central tendency (Mean, Median, Mode)",5,1,100%,4/19/2026,48.34675449,24.59%
Mathematics for Machine Learning,Prob & Stats for ML,01 Descriptive Stats and Data Viz,"Variance, Standard Deviation, and IQR",5,1,100%,4/25/2026,42.6000075,22.56%
Mathematics for Machine Learning,Prob & Stats for ML,01 Descriptive Stats and Data Viz,"Box plots, histograms, and scatter plots",4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,01 Descriptive Stats and Data Viz,Covariance and Correlation (Pearson and Spearman),3,1,100%,4/19/2026,48.34675877,24.59%
Mathematics for Machine Learning,Prob & Stats for ML,02 Probability Theory Foundations,"Sample spaces, events, and axioms of probability",4,1,100%,4/19/2026,48.34678815,24.59%
Mathematics for Machine Learning,Prob & Stats for ML,02 Probability Theory Foundations,Permutations and Combinations,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,02 Probability Theory Foundations,Conditional probability and Independence,6,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,02 Probability Theory Foundations,Bayes' Theorem and its applications in ML,5,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,02 Probability Theory Foundations,Law of Large Numbers and Central Limit Theorem,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,03 Random Variables and Distributions,Discrete vs. Continuous random variables,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,03 Random Variables and Distributions,"PMF, PDF, and CDF",5,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,03 Random Variables and Distributions,"Bernoulli, Binomial, Poisson, Uniform, and Normal",5,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,03 Random Variables and Distributions,Expected Value and Variance of random variables,5,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,04 Statistical Inference,Point estimation and sampling distributions,5,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,04 Statistical Inference,MLE and MAP estimation,5,1,100%,4/19/2026,48.34676271,24.59%
Mathematics for Machine Learning,Prob & Stats for ML,04 Statistical Inference,Confidence intervals and margins of error,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,05 Hypothesis Testing,Null and Alternative hypotheses,4,1,100%,4/19/2026,48.34397826,24.59%
Mathematics for Machine Learning,Prob & Stats for ML,05 Hypothesis Testing,P-values and Significance levels (α),4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,05 Hypothesis Testing,Z-tests and T-tests (one-sample and two-sample),3,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,05 Hypothesis Testing,Type I and Type II errors,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,05 Hypothesis Testing,Chi-squared tests for independence,5,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,06 Advanced Statistical Applications,Linear Regression from a statistical perspective,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,06 Advanced Statistical Applications,Multiple Linear Regression and R-squared,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,06 Advanced Statistical Applications,Principal Component Analysis (PCA) math foundations,4,0,,,99,100.00%
Mathematics for Machine Learning,Prob & Stats for ML,06 Advanced Statistical Applications,Introduction to Bayesian Statistics and Inference,4,1,100%,4/19/2026,48.34678591,24.59%
Programming Foundations,Python Data Types,01 Advanced Sequence Ops,Tuple Unpacking & Data Integrity,5,3,100%,4/18/2026,49.43178994,21.23%
Programming Foundations,Python Data Types,01 Advanced Sequence Ops,"List Extension, Location, & Removal",5,1,0%,4/18/2026,49.43178866,74.98%
Programming Foundations,Python Data Types,02 String Processing,Dynamic f-strings,5,4,100%,4/14/2026,53.97305911,22.08%
Programming Foundations,Python Data Types,02 String Processing,Efficient Joining & Search Normalization,5,2,50%,4/14/2026,53.97307123,49.08%
Programming Foundations,Python Data Types,03 Key-Value Data Modeling,Managing Keys: .update() and .pop(),5,2,100%,4/14/2026,53.97306203,24.08%
Programming Foundations,Python Data Types,03 Key-Value Data Modeling,Safe Dictionary Access: .get() vs. [],5,2,100%,4/14/2026,53.97305314,24.08%
Programming Foundations,Python Data Types,04 Specialized Containers,Attribute-based Records with namedtuple,5,3,100%,4/14/2026,53.97307447,22.83%
Programming Foundations,Python Data Types,04 Specialized Containers,Frequency Analytics with Counter,5,1,100%,4/14/2026,53.97312348,26.58%
Programming Foundations,Python Data Types,04 Specialized Containers,Boilerplate reduction with defaultdict,5,2,100%,4/14/2026,53.97308101,24.08%
Programming Foundations,Python Data Types,04 Specialized Containers,Rich Record Modeling with dataclasses,5,2,50%,4/14/2026,53.97304973,49.08%
Programming Foundations,Python Syntax & Logic Foundations,01 The Developer Mindset,print() as a Debugging & Testing Tool,5,1,100%,4/14/2026,53.95344139,26.57%
Programming Foundations,Python Syntax & Logic Foundations,01 The Developer Mindset,Documentation with Comments (#),5,1,100%,4/14/2026,53.95347012,26.57%
Programming Foundations,Python Syntax & Logic Foundations,01 The Developer Mindset,Python Script Mental Model,5,1,100%,4/14/2026,53.95345183,26.57%
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,Variables as Labeled Containers,5,2,100%,4/18/2026,49.42789994,22.47%
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,"Basic Data Types: str, int, float, bool",5,1,0%,4/18/2026,49.42789549,74.97%
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,Inspection with type(),5,2,100%,4/18/2026,49.42629846,22.47%
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,"Multi-line Strings ("""""")",5,2,50%,4/18/2026,49.42789848,47.47%
Programming Foundations,Python Syntax & Logic Foundations,02 Managing Data,Arithmetic & String Operators,5,1,100%,4/14/2026,53.95344889,26.57%
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,Unique Values & Membership (Sets),5,2,100%,4/14/2026,53.95347315,24.07%
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,Ordered Collections (Lists),5,1,100%,4/14/2026,53.9534465,26.57%
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,Key-Value Relationships (Dictionaries),5,2,100%,4/14/2026,53.95343583,24.07%
Programming Foundations,Python Syntax & Logic Foundations,03 Basic Data Structures,Immutable Ordered Data (Tuples),5,2,100%,4/18/2026,49.42928324,22.47%
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,Conditionals & Comparison Operators,5,1,100%,4/18/2026,49.42928582,24.98%
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,Conditional Repetition (While Loops),5,2,100%,4/18/2026,49.42928903,22.48%
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,Result Building: Incrementing & Appending,5,1,100%,4/14/2026,53.95343848,26.57%
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,Repeating over Iterables (For Loops),5,2,100%,4/18/2026,49.4292749,22.47%
Programming Foundations,Python Syntax & Logic Foundations,04 Flow Control & Logic,"Workflow Keywords: in, not, and, or",5,1,100%,4/18/2026,49.42927269,24.97%
Math Foundations,Statistics and Probability,01 Analyzing categorical data (khanacademy.org),Analyzing one categorical variable (khanacademy.org),5,1,100%,4/17/2026,50.32730065,25.29%
Math Foundations,Statistics and Probability,01 Analyzing categorical data (khanacademy.org),Two-way tables (khanacademy.org),5,1,100%,6/7/2026,-0.9001592014,7.18%
Math Foundations,Statistics and Probability,01 Analyzing categorical data (khanacademy.org),Distributions in two-way tables (khanacademy.org),5,1,0%,6/7/2026,-0.5684900579,57.30%
Math Foundations,Statistics and Probability,02 Displaying and comparing quantitative data (khanacademy.org),Displaying quantitative data with graphs (khanacademy.org),5,0,,,99,100.00%
Math Foundations,Statistics and Probability,02 Displaying and comparing quantitative data (khanacademy.org),Describing and comparing distributions (khanacademy.org),5,0,,,99,100.00%
Math Foundations,Statistics and Probability,02 Displaying and comparing quantitative data (khanacademy.org),More on data displays (khanacademy.org),5,0,,,99,100.00%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),Measuring center in quantitative data (Khan Academy),5,1,0%,6/7/2026,-0.5702127431,57.30%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),More on mean and median (Khan Academy),5,2,100%,4/17/2026,50.32727616,22.79%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),Interquartile range (IQR) (Khan Academy),5,0,,,99,100.00%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),Variance and standard deviation of a population (Khan Academy),5,1,100%,4/17/2026,50.33476389,25.30%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),Variance and standard deviation of a sample (Khan Academy),5,0,,,99,100.00%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),More on standard deviation (Khan Academy),5,1,100%,6/7/2026,-0.9001546875,7.18%
Math Foundations,Statistics and Probability,03 Summarizing quantitative data (Khan Academy),Box and whisker plots (Khan Academy),5,1,100%,6/7/2026,-0.5702100347,7.30%
